Claim Ref,Status,Loss Date,Notification Date,Insured,Policy Ref,Paid,Reserve,Incurred,Currency
SDG-00003,closed,06/04/2023,12/04/2023,"Davis, Tormey and Crimmins",POL-SDG-36062,9306.44,0.0,9306.44,USD
SDG-00007-R,,04/07/2024,06/07/2024,"Tormay, Molloy andH awthorn",POL-SDG-48427,38924.63,0.0,38924.63,USD
SDG-00028,closed,13/02/2024,05/03/2024,MacFall and Sons,POL-SDG-69177,25995.12,0.0,25995.12,EUR
SDG-00006,reopened,25/01/2024,28/01/2024,"Bridge, Wrynn and Greely",POL-SDG-15695,14359.18,6879.11,21238.29,GBP
SDG-00004,open,05/03/2024,12/03/2024,"Montague, Butler and Bruton",POL-SDG-30926,17968.36,5563.81,23532.17,GBP
SDG-00043,open,28/02/2023,30/03/2023,"Gaughan, Ruane and Deegan",,20313.14,17026.85,38089.99,EUR
SDG-00032,open,16/05/2023,08/06/2023,Mulgrave-McNevin,POL-SDG-41850,37420.57,11420.86,48841.43,GBP
SDG-00033,open,06/04/2025,19/04/2025,Haugh-Durkin,POL-SDG-56438,7616.4,1938.62,9555.02,GBP
SDG-00017,open,06/01/2024,13/01/2024,"Connole, Carty and Heney",POL-SDG-21915,39893.03,2766.63,42659.66,EUR
SDG-00041,closed,08/06/2023,14/06/2023,Mulry-Finan,POL-SDG-81066,11868.31,0.0,11868.31,EUR
SDG-00044,closed,22/11/2024,19/12/2024,"Lordan, Ruane and Greely",POL-SDG-42271,9408.16,0.0,9408.16,USD
SDG-00049,open,02/06/2024,10/06/2024,Hourigan PLC,POL-SDG-42018,5298.26,6980.18,12278.44,EUR
SDG-00022,closed,03/06/2024,02/07/2024,"Kieran, Considine and Friel",POL-SDG-89818,4256.43,0.0,4256.43,EUR
SDG-00046,reopened,20/11/2023,19/12/2023,"Spenser, Agnew and MacNeill",POL-SDG-41285,10430.63,13394.52,23825.15,EUR
SDG-00014,reopened,02/10/2023,04/10/2023,"O'Farrelly, Swift and Donohoe",POL-SDG-37869,8439.31,18858.19,27297.5,GBP
SDG-00039,reopened,02/03/2023,07/03/2023,"Beggs, Devereux and Taggart",POL-SDG-69638,15158.92,19706.18,34865.1,EUR
SDG-00019,reopened,30/01/2024,11/02/2024,McGrenehan LLC,POL-SDG-82512,23835.54,9361.0,33196.54,EUR
SDG-00018,open,31/05/2025,03/06/2025,Cournane-Hever,POL-SDG-88172,6113.65,3199.64,9313.29,EUR
SDG-00010,reopened,09/04/2024,29/04/2024,Fenning-Harmon,POL-SDG-37460,33364.42,3253.08,36617.5,EUR
